"id_unique","bi03_no","bi03a","bi03b","bi03c","wgt"
"S10_1",1,1,1,100,1355
"S10_12",1,1,1,100,1355
"S10_15",1,1,1,100,1355
"S10_22",1,1,1,100,1355
"S10_28",1,1,1,100,1355
"S10_40",1,1,1,100,1355
"S10_42",1,1,1,100,1355
"S10_45",1,1,1,50,1355
"S10_45",2,4,1,50,1355
"S10_50",1,1,1,100,1355
"S10_52",1,1,1,100,1355
"S10_55",1,1,1,100,1355
"S10_58",1,1,1,100,1355
"S10_66",1,1,1,50,1355
"S10_66",2,2,3,50,1355
"S10_72",1,3,3,75,1355
"S10_72",2,1,1,25,1355
"S10_73",1,1,1,100,1355
"S10_77",1,1,1,100,1355
"S11_122",1,1,3,50,1082
"S11_122",2,2,1,50,1082
"S11_137",1,1,3,100,1082
"S11_139",1,1,3,100,1082
"S11_143",1,1,3,100,1082
"S11_156",1,1,3,100,1082
"S11_2",1,1,3,50,1082
"S11_2",2,2,1,50,1082
"S11_3",1,1,3,50,1082
"S11_3",2,2,1,50,1082
"S11_4",2,3,1,25,1082
"S11_4",1,1,3,50,1082
"S11_4",3,3,3,25,1082
"S11_43",1,1,3,50,1082
"S11_43",2,2,1,50,1082
"S11_48",1,1,3,100,1082
"S11_53",1,3,3,100,1082
"S11_55",1,1,3,50,1082
"S11_55",2,2,1,50,1082
"S11_56",1,1,3,50,1082
"S11_56",2,2,1,50,1082
"S11_65",1,1,3,34,1082
"S11_65",2,3,1,33,1082
"S11_65",3,3,3,33,1082
"S11_68",1,1,3,100,1082
"S11_78",2,2,1,50,1082
"S11_78",1,1,3,50,1082
"S12_1",1,1,1,100,1454
"S12_11",1,1,1,50,1454
"S12_11",2,4,1,50,1454
"S12_23",2,2,3,50,1454
"S12_23",1,1,1,50,1454
"S12_26",1,1,1,100,1454
"S12_32",1,3,3,100,1454
"S12_33",1,1,1,100,1454
"S12_37",1,1,1,50,1454
"S12_37",2,3,1,50,1454
"S12_5",1,1,1,100,1454
"S12_51",1,1,1,100,1454
"S12_54",1,1,1,100,1454
"S12_62",1,1,1,100,1454
"S12_63",1,1,1,50,1454
"S12_63",2,2,3,50,1454
"S12_70",1,1,1,100,1454
"S12_77",1,1,1,100,1454
"S12_78",1,1,1,100,1454
"S12_91",1,1,1,100,1454
"S13_107",1,1,3,100,5808
"S13_108",1,1,3,100,5808
"S13_109",1,1,3,100,5808
"S13_110",1,1,3,100,5808
"S13_111",1,1,3,100,5808
"S13_118",1,1,3,100,5808
"S13_120",3,3,1,20,5808
"S13_120",2,3,3,30,5808
"S13_120",1,1,3,50,5808
"S13_121",1,1,3,100,5808
"S13_122",1,1,3,100,5808
"S13_123",1,1,3,100,5808
"S13_13",1,1,3,100,5808
"S13_139",1,1,3,50,5808
"S13_139",2,3,1,50,5808
"S13_144",2,2,1,30,5808
"S13_144",1,1,3,70,5808
"S13_17",1,1,3,100,5808
"S13_24",1,1,3,40,5808
"S13_24",2,3,3,60,5808
"S13_28",1,1,3,100,5808
"S13_42",1,1,3,100,5808
"S13_46",1,1,3,100,5808
"S13_53",1,1,3,100,5808
"S13_54",1,1,3,100,5808
"S13_59",1,1,3,100,5808
"S13_78",1,1,3,100,5808
"S13_83",1,1,3,100,5808
"S13_98",1,1,3,100,5808
"S14_118",1,1,1,100,5858
"S14_119",1,1,1,100,5858
"S14_12",1,1,1,50,5858
"S14_12",2,5,1,50,5858
"S14_120",1,1,1,100,5858
"S14_130",1,1,1,100,5858
"S14_145",1,1,1,100,5858
"S14_155",1,1,1,100,5858
"S14_161",1,1,1,100,5858
"S14_174",1,1,1,100,5858
"S14_177",1,1,1,100,5858
"S14_183",1,1,1,100,5858
"S14_189",1,1,1,100,5858
"S14_206",1,1,1,100,5858
"S14_21",1,3,1,100,5858
"S14_212",1,1,1,100,5858
"S14_223",1,1,1,100,5858
"S14_224",2,3,1,60,5858
"S14_224",1,1,1,40,5858
"S14_243",1,1,1,100,5858
"S14_262",2,2,3,50,5858
"S14_262",1,1,1,50,5858
"S14_263",1,1,1,50,5858
"S14_263",2,2,3,50,5858
"S14_266",1,1,1,100,5858
"S14_269",1,1,1,100,5858
"S14_272",1,1,1,100,5858
"S14_283",1,1,1,100,5858
"S14_292",1,1,1,100,5858
"S14_294",1,1,1,100,5858
"S14_295",1,1,1,100,5858
"S14_305",1,1,1,100,5858
"S14_312",1,1,1,100,5858
"S14_329",1,1,1,100,5858
"S14_333",1,1,1,100,5858
"S14_48",2,2,3,50,5858
"S14_48",1,1,1,50,5858
"S14_53",1,1,1,100,5858
"S14_54",1,1,1,100,5858
"S14_58",1,1,1,100,5858
