"id_unique","bi08_no","bi08_text","bi08c","bi08d_a","bi08d_b","bi08d_c","bi08d_d","wgt"
"S10_12",1,"CAR TRADING BUSINESS",3,0,0,0,0,1355
"S10_22",1,"DECORATIVE PLANTS TRADING",3,0,0,0,0,1355
"S10_28",1,"CAR SERVICE AND MAINTENANCE",2,2,1,0,3,1355
"S10_40",1,"HOSTEL",3,0,0,0,0,1355
"S10_52",1,"HIJAB STORE",1,1,0,0,1,1355
"S10_55",1,"PALM OIL PLANTATION",3,0,2,2,4,1355
"S10_66",1,"LPG HOME STATION",3,0,0,2,2,1355
"S10_73",1,"RETAIL OF BIRDS FROM HOME",3,0,0,0,0,1355
"S11_122",1,"RESELLER OF OF CLOTHES AT HOME",3,0,0,0,0,1082
"S11_2",1,"COFFEE SHOP ""3 DARA""",3,0,0,1,1,1082
"S11_48",1,"COFFEE SHOP",3,0,0,0,0,1082
"S11_56",1,"KIOSK SELLING HP AT HOME",1,0,1,0,1,1082
"S11_65",1,"SELLING CLOTHES VIA ONLINE",3,0,0,0,0,1082
"S12_11",1,"PALM OIL PLANTATION",3,0,0,0,0,1454
"S12_26",1,"PUBLIC TRANSPORTATION SERVICE FOR MATERIALS",1,0,3,0,3,1454
"S12_32",1,"MOTORCYCLE WASHING SERVICE",3,0,0,0,0,1454
"S12_5",1,"GROCERIES STORE",1,0,0,1,1,1454
"S12_51",1,"CAR MAINTENANCE SERVICES",3,2,0,1,3,1454
"S12_62",2,"RETAIL OF GASOLINE ",3,1,0,0,1,1454
"S12_62",1,"GROCERIES STORE ",3,1,0,1,2,1454
"S12_63",1,"WHOLESALE OF VEGETABLES IN A LOS - MARKET",3,1,0,0,1,1454
"S12_63",2,"ORANGE PLANTATION",3,1,2,0,3,1454
"S12_91",1,"RETAIL OF CHICKEN IN A NON-PERMANENT KIOSK IN A MARKET",3,0,2,2,4,1454
"S13_107",1,"RETAIL OF RUBBER SAP TRADER",3,0,0,2,2,5808
"S13_108",1,"RETAIL OF VEGETABLES: SPINACH, WATER SPINACH, BEANS IN KIOSK IN MARKET",3,0,0,1,1,5808
"S13_111",1,"LAUNDRY SERVICE ""MANOBENJENAR""",3,0,0,2,2,5808
"S13_121",1,"GROCERIES STORE ",3,0,0,1,1,5808
"S13_123",1,"WALET NEST TRADING",3,0,0,1,1,5808
"S13_139",1,"GROCERIES STORE ",3,0,0,1,1,5808
"S13_139",2,"PALAWIJA AGRICULTURE",3,0,10,5,15,5808
"S13_17",1,"SELLING LPG ",3,0,0,3,3,5808
"S13_46",1,"MINERAL WATER STORE",3,0,0,1,1,5808
"S13_59",1,"RUBBER SAP TRADER",1,0,0,2,2,5808
"S13_98",2,"PALM OIL PLANTATION",1,1,3,0,4,5808
"S13_98",1,"CELL STALL ""ZAHRA ZAHIR CELL""",3,0,0,1,1,5808
"S14_118",1,"VEGETABLES AND PALAWIJA AGRICULTURE",3,0,0,0,0,5858
"S14_119",1,"QUAIL FARMING",3,0,0,1,1,5858
"S14_145",1,"FATTENING CATTLE BUSINESS",3,0,2,1,3,5858
"S14_161",1,"WATER REFILL SERVICE ",3,0,0,0,0,5858
"S14_21",1,"LPG HOME STATION",1,1,0,0,1,5858
"S14_223",1,"TRANPORTATION SERVICES FOR MATERIALS",3,0,0,0,0,5858
"S14_224",1,"PALM OIL PLANTATION",3,0,6,0,6,5858
"S14_263",1,"RUBBER PLANTATION",3,0,0,1,1,5858
"S14_283",1,"PADDY AGRICULTURE AND RUBBER PLANTATION",3,0,13,2,15,5858
"S14_292",1,"PALM OIL PLANTATION",3,0,2,0,2,5858
"S14_333",1,"PRODUCTION AND SELLING OF TRADITIONAL CAKES ",3,0,0,1,1,5858
"S14_53",1,"PADDY AGRICULTURE",1,0,5,12,17,5858
"S14_54",1,"COFFEE SHOP",3,0,0,1,1,5858
"S14_59",1,"PADDY AGRICULTURE",3,0,5,1,6,5858
"S14_6",1,"FOOD STALL SERVING FAST FOOD",1,2,0,0,2,5858
"S14_67",1,"PRODUCTION AND SELLING OF ICE CUBE",3,0,0,1,1,5858
"S14_8",1,"CHICKEN LIVESTOCK",3,0,0,0,0,5858
"S14_84",1,"WHOLESALE OF RUBBER SAP FROM FARMERS TO THE FACTORY",3,0,0,0,0,5858
"S15_13",3,"LANGSAT TREES PLANTATION",3,0,6,0,6,184
"S15_13",2,"PALM OIL PLANTATION",1,0,2,0,2,184
"S15_13",4,"PADDY AGRICLUTURE",1,0,3,0,3,184
"S15_13",5,"GASOLINE STATION PERTAMINI",3,1,1,3,5,184
"S15_13",1,"RESTAURANT",3,1,2,3,6,184
"S15_17",1,"RETAIL OF HOME APPLIANCES, CLOTHES, TUPPERWARE BY ORDER AND CREDIT PAYMENT",3,0,0,0,0,184
"S15_21",1,"HOUSE FOR RENTAL",1,0,0,0,0,184
"S15_34",2,"SEWING SERVICE OF CLOTHES",3,0,0,0,0,184
"S15_34",1,"RUBBER TREES PLANTATION",3,0,1,1,2,184
"S15_34",3,"PRODUCTION AND SELLING OF PASTRIES",3,0,0,1,1,184
"S15_5",1,"BARBERSHOP FOR MALE AND FEMALE",1,0,0,0,0,184
"S15_59",1,"FOOD STALL SELLING MEATBALLS",3,2,0,2,4,184
"S15_96",1,"GOAT FARMING",1,1,0,0,1,184
"S15_96",2,"JANGKRIK CULTIVATION",3,0,1,2,3,184
"S16_18",1,"RUBBER PLANTATION",3,0,0,1,1,377
"S16_30",1,"RUBBER PLANTATION",3,2,2,0,4,377
"S16_32",1,"RUBBER PLANTATION",3,0,2,1,3,377
"S16_5",1,"GROCERIES STORE ""RADIT""",1,2,2,0,4,377
"S16_5",2,"AGRICULTURE EQUIPMENTS RENT SERVICE",1,0,4,0,4,377
"S16_52",1,"CHICKEN FARMING",3,0,0,3,3,377
"S16_56",2,"CHICKEN LIVESTOCK",3,0,0,1,1,377
"S16_56",1,"CABBAGES AND CHILI AGRICULTURE",2,0,3,1,4,377
"S16_63",1,"PALM OIL PLANTATION",3,0,2,0,2,377
"S16_79",1,"PALM OIL PLANTATION",3,0,2,0,2,377
"S16_79",2,"COCONUT PLANTATION",3,0,2,0,2,377
"S16_79",4,"TRADING WALET NESTS ",3,0,0,0,0,377
"S16_79",3,"PADDY AGRICULTURE",3,0,16,0,16,377
"S17_101",2,"PIG FARMING",3,0,0,0,0,1145
"S17_101",1,"GROCERIES STORE ",3,0,0,0,0,1145
"S17_107",2,"CATTLE FARMING",2,0,0,2,2,1145
"S17_107",1,"PIG FARMING",3,0,0,2,2,1145
"S17_117",2,"FISH POND RENT SERVICE",3,0,0,0,0,1145
"S17_117",1,"DRINK STALL ""S1 BOBA""",3,1,0,0,1,1145
"S17_117",3,"ONLINE SNACKS TRADING",3,0,0,0,0,1145
"S17_150",1,"USED MOTORCYCLE TRADING",3,0,0,0,0,1145
"S17_159",1,"PRODUCTION AND ONLINE SELLING OF TRADITIONAL CAKES ",3,0,0,0,0,1145
"S17_2",1,"RETAIL ON SEMBAKO",1,0,0,1,1,1145
"S17_62",1,"CHICKEN FARMING",3,0,0,0,0,1145
"S17_83",1,"HOSTEL",3,0,1,0,1,1145
"S18_123",1,"PADDY AGRICULTURE",3,0,1,1,2,1608
"S18_141",1,"PIG FARMING",3,0,0,0,0,1608
"S18_158",1,"PADDY AGRICULTURE",3,0,1,0,1,1608
"S18_159",1,"AGRICULTURE (PADDY, DORN, AND CASSAVA)",3,0,0,1,1,1608
"S18_17",1,"CATTLE FARMING",3,0,0,2,2,1608
"S18_5",1,"GROCERIES STORE",3,0,1,1,2,1608
"S18_60",1,"SHALLOTS AGRICULTURE",3,0,9,0,9,1608
"S19_101",1,"RETAIL OF SHEEP DURING EID AL-ADHA",3,0,4,0,4,700
"S19_133",2,"SAVING AND LOAN COOPERATIVE ""ANUGERAH PUTRA""",3,0,0,0,0,700
"S19_133",1,"RETAIL OF CLOTHES AT MARKET",3,0,0,1,1,700
"S19_143",1,"HOUSE RENT SERVICE",3,0,0,0,0,700
"S19_2",1,"SELLING SMOKED PORK",3,0,0,1,1,700
"S19_31",1,"HOUSE RENT SERVICE",3,0,0,0,0,700
"S19_378",1,"PADDY AGRICULTURE",2,30,0,1,31,700
"S19_378",3,"GOAT FARMING",3,0,2,0,2,700
"S19_378",2,"CORN AGRICULTURE",3,100,0,0,100,700
"S19_60",1,"WATER REFILL SERVICE ",3,0,0,0,0,700
"S1_105",1,"RETAIL OF ELECTRONIC EQUIPMENTS: HANDPHONE, TV, REFRIGERATOR BY ORDER",3,0,0,0,0,5828
"S1_122",1,"FOOD STALL AND BEVERAGES ""KOI""",3,0,1,0,1,5828
"S1_148",1,"CATERING SERVICE FOR AQIQAH",3,0,0,0,0,5828
"S1_19",1,"PRODUCTION OF BAMBOO BOX FOR FISHES ",3,0,0,1,1,5828
