"cov01","cov02","cov04c","strata","no_urut","id_unique","gender","gender_text","education","education_text","date_submission_kur","record_reminder","sq02","sq03","sq04","sq05","ir01c","ir01d","ir01e","ir01f","ir02b","ir02c","ir03","ir03a","ir03a_w","ir03a_b","ir03a_c","ir03a_d","ir03a_v","ir05","ir05_tahun","ir06","ir06a","ir06a_w","ir06a_b","ir06a_c","ir06a_d","ir06a_e","ir06a_v","bi01b","bi01b_sector","bi01b_subsector","bi02x","bi02","bi02_repeat_count","bi03calc","bi04x","bi04","bi04_repeat_count","bi06","bi06_a","bi06_b","bi06_c","bi06_d","bi06_e","bi06_f","bi06_g","bi06_h","bi06_i","bi06_j","bi06_k","bi06_l","bi06_m","bi06_n","bi06_o","bi06_p","bi06_q","bi06_r","bi06_s","bi06_t","bi06_z","bi06_v","bi06_calc","bi06a","bi07","bi07_a","bi07_b","bi07_c","bi07_d","bi07_e","bi07_f","bi07_g","bi07_v","bi07_w","bi07_y","bi08a","bi08b","bi08b1","bi08b2","bi08b3","bi08b4","bi08b5","bi08b6","bi08b7","bi08b8","bi08b9","bi08_repeat_count","cl01x","cl01a","cl01b","cl02","cl02_a","cl02_b","cl02_c","cl02_d","cl02_e","cl02_f","cl02_g","cl02_h","cl02_i","cl02_j","cl02_v","cl02a","cl03_a","cl03_b","cl03_c","cl03_d","cl04ax","cl04a","cl04b_min","cl04b_max","cl04c","cl05ax","cl05a","cl05b_min","cl05b_max","cl05c","reserved_name_for_field_list_lab","cl06","cl07","cl08","cl09","cl10","cl11","bp01","bp02","bp03","bp04","bp05","bp06","bp07","bp08","bp09","bp10","we01_a","we01_b","we01_c","we01_d","ri01ax","ri01a","ri01b_min","ri01b_max","ri01c","ri02ax","ri02a","ri02b_min","ri02b_max","ri02c","fl01","v195","fl02a","fl02b","fl02c","fl02d","fl02e","fl02f","fl02g","fl02h","fl02i","fl02j","fl02k","fl02l","fl02m","fl02v","fl02_warn","fl02_calc","fl03a1","fl03a2","fl03b1","fl03b2","fl04","fl05","fl06","fl07x","fl07","fl08x","fl08","fl09","v226","rf01a","rf01b","rf01cc","rf01dd","rf01e","rf01f","rf01g","rf01h","rf01i","rf01j","rf01k","rf01l","rf01m","rf01n","rf01v","rf01_warn","rf01_calc","rf01a1","rf01a2","rf01b1","rf01b2","rf01c","rf01d","rf02","rf03","rf04","rf04_a","rf04_b","rf04_c","rf04_d","rf04_v","rf04_w","rf04_y","rf05_repeat_count","rf06","rf07x","rf07","rf08","rf09","rf10_period","rf10","rf10_percent","rf10_rupiah","rf11","rf11_rupiah","rf12","rf13","rf13_a","rf13_b","rf13_c","rf13_d","rf13_e","rf13_f","rf13a","rf13b","rf13c","rf13d","rf13e","rf13f","rf13_calc","rf14","rf14_a","rf14_b","rf14_c","rf14_d","rf14_e","rf14_f","rf14_g","rf14a","rf14b","rf14c","rf14d","rf14e","rf14f","rf14g","rf14_calc","rf15_group_count","rf16a","rf16b","rf16c","rf16d","rf16e","rf16f","rf16g","rf16h","rf16i","ke01","ke02","ke03","ke03_rupiah","ke04","ke05","ke05_a","ke05_b","ke05_c","ke05_d","ke05_e","ke05_v","ke06","ke07","ke08","ke09","ke10","ke11","ke12","ke12_a","ke12_b","ke12_c","ke12_d","ke12_v","ke12_w","ke13","ke13_a","ke13_b","ke13_c","ke13_d","ke13_e","ke13_f","ke13_g","ke13_v","co01","co02","co02_a","co02_b","co02_c","co02_d","co02_e","co02_v","co03","co04","co05","co05a","co05b","co06x","co06","co07","co08","co09","co09_a","co09_b","co09_c","co09_d","co09_e","co09_f","co09_v","co09a","co09b","co09c","co09d","co09e","co09f","co09v","co10","co11","co12","end_time","cov08","cov09","weight","sd","start_date","wgt","birth1","birth2","birth3","birth_month_year"
"ACEH","LANGSA",1,38,4,"S38_4",1,"MALE",4,"DIPLOMA","09-06-2016","YA",1,1,1,3,1,96,6,96,,,"09-06-2016","W",1,0,0,0,0,1,,"01-01-2009","W",1,0,0,0,0,0,"FATTENING AND SELLING CATTLE",1,14,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"A","D",0,0,0,1,0,0,0,0,0,0,1,1,"MEDICAL CLINIC ""BACHTIAR""",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,1,3,1,1,1,1,3,1,30000000,,,,1,10000000,,,,"06-2016",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","M","L","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,1,3,1,1,3,4,"A          K  M N","A","N","N","AA",50000000,1,3,3,,,,,,,,,3,2,1,150000000,36,1,1,2,,1525000,,,1,"A B",1,1,0,0,0,0,30,"70",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,1,1,1,3,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,50,1,1,3,3,,,,,,,,,,,,,,,,,1,8,"08:51:00",1,,6339.873046875,"01-01-2009",1/1/2009,6340,"12","09","1983","091983"
"SUMATERA UTARA","PADANG LAWAS",1,37,4,"S37_4",2,"FEMALE",6,"OTHER  ____________","14-03-2016","YA",1,1,1,3,3,96,2,95,3,3,"98-01-2016","B D",0,1,0,1,0,1,,"98-98-2001","C E",0,0,1,0,1,0,"PALM OIL PLANTATION",1,12,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"W",0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,3,0,0,2,2,1,2000000,,,,1,2000000,,,,"03-2016",,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,"M V","V","M","V","M",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","N","N","A",15000000,1,3,1,"B",0,1,0,0,0,0,0,1,2,1,50000000,36,3,,,,,1,477000,96,"B",0,1,0,0,0,0,0,"100",0,0,0,0,100,"A B",1,1,0,0,0,0,0,7,93,0,0,0,0,0,100,4,3,3,1,96,96,96,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,2,,,3,,,,,,,,,,,,,,,,,,,,3,,"17:34:05",1,,5715.62109375,"01-01-2001",1/1/2001,5716,"10","07","1965","071965"
"ACEH","PIDIE",1,38,6,"S38_6",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","11-10-2016","YA",1,1,1,3,1,96,3,96,,,"98-10-2014","C D",0,0,1,1,0,1,,"01-11-2005","W",1,0,0,0,0,0,"TRANSPORTATION SERVICE BRINGING SAND, GRAVELS USING USING DUM TRUCK",49,494,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"W",0,0,0,0,0,0,0,0,1,0,1,1,"BATAKO RPRODUCTION",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,3,0,0,0,0,1,7000000,,,,1,5000000,,,,"10-2014",,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,"M","M","AA","M","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,"A","A","AA","A","AA",25000000,1,2,1,"B",0,1,0,0,0,0,0,1,2,1,60000000,24,1,2,2,,1000000,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,1,3,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"V",0,0,0,0,0,1,1,,3,,70,3,,,,,,,,,,,,,,,,,,,,1,8,"10:32:13",1,,6339.873046875,"01-11-2005",11/1/2005,6340,"28","05","1972","051972"
"JAWA TIMUR","MALANG",1,3,74,"S3_74",2,"FEMALE",3,"SENIOR HIGH SCHOOL (SMA)","25-06-2018","YA",1,1,1,3,3,96,5,96,,,"25-06-2018","W",1,0,0,0,0,1,,"98-98-1993","C E",0,0,1,0,1,0,"SEWING SERVICE AND CLOTH SERVICES",10,107,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"A","G",0,0,0,0,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,3,4,0,2,6,1,40000000,,,,1,4000000,,,,"06-2018",,3,3,3,3,3,3,3,3,1,1,1,1,1,3,5,"I J K L M","M","AA","M","I",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,1,3,3,3,1,3,3,"A         J    N","W","AA","A","N",49000000,1,1,1,,,,,,,,,1,2,1,80000000,36,3,,,,,1,1600000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A F",1,0,0,0,0,1,0,90,0,0,0,0,10,0,100,4,1,3,3,96,96,96,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,60,1,1,1,1,"B",0,1,0,0,0,0,0,,"PRINCIPAL PAYMENT WAS SUSPENDED FOR 6 MONTHS",,,,,,6,1,9,"10:44:09",1,,5884.0625,"01-01-1993",1/1/1993,5884,"08","11","1961","111961"
"JAWA TENGAH","KENDAL",1,4,10,"S4_10",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","27-12-2018","YA",1,1,1,3,1,96,5,96,,,"27-12-2018","W",1,0,0,0,0,1,,"98-98-2002","C E",0,0,1,0,1,0,"RETAIL ON WOODS . THE BUSINESS WAS STARTED WHEN THE WOODS ARE BOUGHT BY CUSTOMERS",47,475,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","W",0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,1,3,1,3,3,0,0,0,0,1,300000,,,,1,50000,,,,"12-2018",,3,3,3,3,3,3,3,3,1,3,3,3,1,3,2,"I    M","W","AA","M","I",1,2,90000000,1,1.5,1,90000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","W","AA","A","N",50000000,1,1,1,,,,,,,,,1,2,1,300000000,24,1,2,1,0.300000011920929,,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,3,3,1,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,60,1,1,1,3,,,,,,,,,,,,,,,,,1,95,"15:28:04",1,,5903.34375,"01-01-2002",1/1/2002,5903,"21","05","1981","051981"
"JAWA TENGAH","DEMAK",1,4,42,"S4_42",1,"MALE",3,"SENIOR HIGH SCHOOL (SMA)","16-05-2019","YA",1,1,1,3,1,96,5,96,,,"16-05-2019","W",1,0,0,0,0,1,,"98-98-2007","C E",0,0,1,0,1,0,"SEWING SERVICE AND CLOTH SERVICES",14,141,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","G",0,0,0,0,0,0,1,0,0,0,1,1,"SERVICE OF BROKEN LAMP",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,1,0,0,1,1,1,1000000,,,,1,500000,,,,"05-2019",,1,3,3,3,3,3,3,3,3,3,1,1,1,3,4,"A          K L M","L","M","A","M",1,1,20000000,98,,1,20000000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,1,3,2,"A             N","A","AA","N","A",50000000,1,1,1,,,,,,,,,1,2,1,150000000,36,3,,,,,1,1550000,1,"A B",1,1,0,0,0,0,40,"60",0,0,0,0,100,"A B",1,1,0,0,0,0,0,20,80,0,0,0,0,0,100,4,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,50,1,3,1,1,"A B",1,1,0,0,0,0,0,"INTEREST RATE PAYMENT WAS SUSPENDED FOR 6 MONTHS","PRINCIPAL PAYMENT WAS SUSPENDED FOR 6 MONTHS",,,,,,6,1,8,"16:30:59",1,,5903.34375,"01-01-2007",1/1/2007,5903,"21","01","1983","011983"
"SUMATERA UTARA","DELI SERDANG",1,38,7,"S38_7",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","08-12-2017","YA",1,1,1,3,1,96,3,96,,,"08-12-2017","W",1,0,0,0,0,2,2020,"30-11-2017","W",1,0,0,0,0,0,"PERDAGANGAN ECERAN BUAH-BUAHAN SEPERTI NANAS, ALPUKAT, DAN LAIN-LAIN DI LOS PASAR",47,478,1,1,1,100,1,1,1,"A K",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,"A","W",0,0,0,0,0,0,0,0,1,0,3,,,,,,,,,,,,1,"FEB, 2020",1,"E",0,0,0,0,1,0,0,0,0,0,0,,1,0,0,1,1,3000000,,,,1,0,,,,,3,3,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,"12-2017",,3,3,3,3,3,1,3,3,3,1,1,3,3,3,3,"F    J K","F","K","J","K",3,,,,,1,2000000,10,,1,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,"A          K","K","A","A","K",10000000,1,2,1,"A",1,0,0,0,0,0,0,1,2,1,10000000,36,3,,,,,98,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,1,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,"B",0,1,0,0,0,0,3,1,3,,100,3,,,,,,,,,,,,,,,,,,,,96,,"11:30:53",1,,6339.873046875,"30-11-2017",11/30/2017,6340,"04","12","1964","121964"
"JAMBI","TANJUNG JABUNG TIMUR",1,38,18,"S38_18",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","26-11-2017","YA",1,1,1,3,1,96,3,96,3,3,"26-11-2017","W",1,0,0,0,0,1,,"06-10-2017","W",1,0,0,0,0,0,"PALM OIL PLANTATION",1,12,1,1,1,100,1,2,2,"A K L",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,"A","V",0,0,0,0,0,0,0,1,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,3,3,3,1,3,1,0,0,1,1,1,2000000,,,,1,500000,,,,"11-2017",,3,3,3,3,3,3,3,3,3,3,3,1,3,3,1,"L","L","AA","L","AA",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,2,"A            M","A","M","A","M",20000000,1,2,2,,,,,,,,,2,2,1,200000000,24,1,1,2,,644000,,,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,5,,1,1,3,3,,,,,,,,,,,,,,,,,3,,"15:03:39",1,,6339.873046875,"06-10-2017",10/6/2017,6340,"01","10","1975","101975"
"SUMATERA BARAT","SOLOK",1,38,5,"S38_5",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","05-04-2019","YA",1,1,1,3,1,96,5,1,,,"05-04-2019","W",1,0,0,0,0,1,,"04-10-2007","W",1,0,0,0,0,0,"MILLING SERVICE ON PADDY",10,106,1,1,1,100,1,1,1,"A",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,"D G",0,0,0,1,0,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,1,1,1,3,1,3,3,0,0,1,1,1,10000000,,,,1,8000000,,,,"04-2019",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","L","M","L","M",3,,,,,1,200000,1,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,"A","A","AA","A","AA",50000000,1,2,2,,,,,,,,,2,2,1,60000000,36,3,,,,,1,1520000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A",1,0,0,0,0,0,0,100,0,0,0,0,0,0,100,4,3,1,3,3,1,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,3,,30,1,1,1,3,,,,,,,,,,,,,,,,,3,,"17:01:59",1,,6339.873046875,"04-10-2007",10/4/2007,6340,"12","10","1963","101963"
"LAMPUNG","LAMPUNG BARAT",1,38,11,"S38_11",1,"MALE",1,"ELEMENTARY SCHOOL (SD)","24-11-2018","YA",1,1,1,3,1,96,2,1,,,"24-10-2018","B",0,1,0,0,0,1,,"01-01-2000","W",1,0,0,0,0,0,"COFFEE PLANTATION",1,12,1,1,1,100,1,1,1,"A K Z",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,"Z","V",0,0,0,0,0,0,0,1,0,0,1,1,"PADDY AGRICULTURE",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,3,1,3,3,0,3,1,4,1,10000000,,,,1,7000000,,,,"10-2018",,3,3,3,3,3,3,3,3,3,3,3,1,1,3,2,"L M","M","L","M","L",3,,,,,96,,,,1,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,"A            M N","A","M","A","N",15000000,1,1,1,,,,,,,,,1,2,1,100000000,12,3,,,,,1,16050000,1,"A",1,0,0,0,0,0,100,"0",0,0,0,0,100,"A B",1,1,0,0,0,0,0,50,50,0,0,0,0,0,100,4,3,3,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,20,,3,,,,,,,,,,,,,,,,,,,,3,,"17:41:52",1,,6339.873046875,"01-01-2000",1/1/2000,6340,"13","08","1974","081974"
