"id_unique","rf05_no","rf05a","rf05b","rf05c","rf05d","rf05e","wgt"
"S10_1",1,15000000,2019,1,"BRI SYARIAH",3,1355
"S10_1",2,15000000,2020,1,"BRI SYARIAH",3,1355
"S10_12",1,25000000,2020,1,"BANK MANDIRI",3,1355
"S10_15",1,10000000,2017,3,"BANK MANDIRI",3,1355
"S10_22",1,8000000,2019,1,"BANK MANDIRI",3,1355
"S10_28",1,15000000,2018,3,"BANK MANDIRI",3,1355
"S10_40",1,15000000,2016,1,"BANK MANDIRI",3,1355
"S10_42",1,25000000,2020,3,"BANK MANDIRI",3,1355
"S10_45",1,20000000,2018,1,"BANK MANDIRI",3,1355
"S10_50",2,25000000,2020,3,"BANK MANDIRI",3,1355
"S10_50",1,25000000,2018,3,"BANK MANDIRI",3,1355
"S10_52",1,25000000,2020,3,"BRI SYARIAH",3,1355
"S10_55",1,25000000,2019,3,"BPD KALTIMTARA",3,1355
"S10_58",1,15000000,2017,3,"BANK MANDIRI",3,1355
"S10_66",1,25000000,2018,1,"BRI SYARIAH",3,1355
"S10_72",1,10000000,2016,1,"BANK MANDIRI",3,1355
"S10_73",1,15000000,2018,1,"BPD KALIMANTAN SELATAN",3,1355
"S10_77",1,10000000,2016,3,"BANK MANDIRI",3,1355
"S11_122",1,50000000,2019,2,"BANK MANDIRI",3,1082
"S11_137",1,30000000,2016,3,"BANK MANDIRI",3,1082
"S11_139",1,200000000,2020,3,"BNI",3,1082
"S11_143",1,150000000,2018,3,"BPD KALTIMTARA",3,1082
"S11_156",1,100000000,2018,1,"BANK MANDIRI",3,1082
"S11_2",2,50000000,2016,1,"BANK MANDIRI",3,1082
"S11_2",1,50000000,2015,1,"BANK MANDIRI",3,1082
"S11_3",1,10000000,2019,3,"BANK MANDIRI",3,1082
"S11_4",1,100000000,2019,3,"BANK MANDIRI",3,1082
"S11_43",1,100000000,2019,1,"BANK MANDIRI",3,1082
"S11_48",1,100000000,2018,3,"BNI",3,1082
"S11_53",1,65000000,2019,3,"BNI",3,1082
"S11_55",1,100000000,2018,3,"BPD KALIMANTAN",1,1082
"S11_56",1,100000000,2019,3,"BNI",1,1082
"S11_65",1,50000000,2018,1,"BPD KALIMANTAN",3,1082
"S11_68",1,50000000,2017,3,"BNI",3,1082
"S11_78",1,80000000,2019,3,"BANK MANDIRI",3,1082
"S12_1",1,300000000,2020,3,"BPD KALIMANTAN SELATAN",3,1454
"S12_11",1,50000000,2019,3,"BNI",3,1454
"S12_23",1,100000000,2019,1,"BANK MANDIRI",3,1454
"S12_26",2,51000000,2020,3,"BPD KALTIMTARA",3,1454
"S12_26",1,40000000,2019,3,"BPD KALTIMTARA",3,1454
"S12_32",1,50000000,2019,3,"BPD KALIMANTAN",1,1454
"S12_33",1,50000000,2017,1,"BANK MANDIRI",3,1454
"S12_37",1,30000000,2014,3,"BPD KALIMANTAN",3,1454
"S12_37",2,50000000,2019,3,"BPD KALIMANTAN",3,1454
"S12_5",2,100000000,2017,1,"BNI",3,1454
"S12_5",1,150000000,2013,1,"BNI",3,1454
"S12_51",1,160000000,2019,3,"BNI",3,1454
"S12_54",1,50000000,2018,3,"BPD KALTIMTARA",3,1454
"S12_62",1,150000000,2020,3,"BNI",3,1454
"S12_63",1,100000000,2019,3,"BANK MANDIRI",3,1454
"S12_70",1,100000000,2018,3,"BANK MANDIRI",3,1454
"S12_77",1,70000000,2018,1,"BANK MANDIRI",3,1454
"S12_78",1,100000000,2020,3,"BANK MANDIRI",3,1454
"S12_91",2,80000000,2019,3,"BPD KALIMANTAN SELATAN",3,1454
"S12_91",1,50000000,2017,3,"BPD KALIMANTAN SELATAN",3,1454
"S13_107",1,25000000,2018,3,"BRI",3,5808
"S13_108",1,20000000,2020,3,"BRI",3,5808
"S13_109",1,8000000,2017,3,"BRI",3,5808
"S13_110",2,25000000,2018,3,"BRI",3,5808
"S13_110",1,25000000,2015,3,"BRI",3,5808
"S13_111",1,10000000,2016,1,"BRI",3,5808
"S13_111",2,25000000,2018,1,"BRI",3,5808
"S13_118",1,25000000,2018,3,"BRI",3,5808
"S13_120",2,22000000,2019,1,"BRI",1,5808
"S13_120",1,10000000,2018,1,"BRI",3,5808
"S13_121",1,5000000,2019,3,"BRI",3,5808
"S13_122",1,15000000,2019,1,"BRI",1,5808
"S13_123",3,25000000,2020,3,"BRI",3,5808
"S13_123",2,25000000,2019,3,"BRI",3,5808
"S13_123",1,5000000,2018,3,"BRI",3,5808
