"id_unique","rf15_no","rf15_show","rf15a","rf15b","rf15b_other","wgt"
"S10_1",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_1",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_1",2,"VEHICLE",1,2,,1355
"S10_1",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_12",2,"VEHICLE",1,2,,1355
"S10_12",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_12",1,"LAND/PROPERTY/BUILDINGS",1,5,,1355
"S10_12",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_15",2,"VEHICLE",1,2,,1355
"S10_15",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_15",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_15",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_22",2,"VEHICLE",1,4,,1355
"S10_22",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_22",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_22",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_28",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_28",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_28",2,"VEHICLE",1,2,,1355
"S10_28",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_40",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_40",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_40",2,"VEHICLE",1,2,,1355
"S10_40",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_42",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_42",2,"VEHICLE",1,2,,1355
"S10_42",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_42",1,"LAND/PROPERTY/BUILDINGS",1,2,,1355
"S10_45",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_45",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_45",2,"VEHICLE",1,2,,1355
"S10_45",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_50",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_50",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_50",2,"VEHICLE",1,2,,1355
"S10_50",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_52",1,"LAND/PROPERTY/BUILDINGS",3,,,1355
"S10_52",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_52",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,1355
"S10_52",2,"VEHICLE",1,4,,1355
"S10_55",2,"VEHICLE",3,,,1355
"S10_55",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_55",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_55",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_58",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_58",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_58",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",1,3,,1355
"S10_58",2,"VEHICLE",1,4,,1355
"S10_66",4,"NON-PHYSICAL ASSETS (EX. BANK ACCOUNT, TIME DEPOSIT)",3,,,1355
"S10_66",3,"OTHER MOVABLE ASSETS (EX. EQUIPMENT)",3,,,1355
"S10_66",1,"LAND/PROPERTY/BUILDINGS",1,4,,1355
"S10_66",2,"VEHICLE",1,4,,1355
"S10_72",2,"VEHICLE",1,2,,1355
